SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_GLM_VERIFY_NO_Q8_TOK2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control or tune the CUDA glm verify no Q8 tok2 path.	ds4_cuda.cu:19824
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable greedy split-KV fast attention.	ds4.c:17235
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_FALLBACK_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy splitkv fallback log in CUDA greedy fast decode.	ds4.c:55663
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_MARGIN	nonnegative finite float; default 0.25; invalid value warns and uses 0.25; 0 disables margin fallback	Control greedy splitkv margin in CUDA greedy fast decode.	ds4.c:17313
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_MAX_SEGMENT	integer 0..INT32_MAX; default/invalid 0 (segment cap disabled)	Control greedy splitkv max segment in CUDA greedy fast decode.	ds4.c:17389
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_PAIR_REPLAY	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Replay greedy split-KV tokens in pairs.	ds4.c:17363
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TOP2	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Use top-2 output margins with greedy split-KV.	ds4.c:17345
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TRACE	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy splitkv trace in CUDA greedy fast decode.	ds4.c:55698
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TRUST_REPLAY	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Trust replayed greedy split-KV results without the normal confirmation policy.	ds4.c:17353
runtime/cuda	DS4_CUDA_GREEDY_SPLIT_TOP1	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable split top-1 selection in greedy CUDA decode.	ds4.c:17207
runtime/cuda	DS4_CUDA_GREEDY_TOP1	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control greedy top1 in CUDA greedy fast decode.	ds4.c:56126
runtime/cuda	DS4_CUDA_GREEDY_VEC4	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable greedy vec4 fast attention.	ds4.c:17245
runtime/cuda	DS4_CUDA_GREEDY_VEC4_FALLBACK_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy vec4 fallback log in CUDA greedy fast decode.	ds4.c:55664
runtime/cuda	DS4_CUDA_GREEDY_VEC4_MARGIN	nonnegative finite float; default 0.25; invalid value warns and uses 0.25; 0 disables margin fallback	Control greedy vec4 margin in CUDA greedy fast decode.	ds4.c:17283
runtime/cuda	DS4_CUDA_GREEDY_VEC4_MAX_SEGMENT	integer 0..INT32_MAX; default/invalid 0 (segment cap disabled)	Control greedy vec4 max segment in CUDA greedy fast decode.	ds4.c:17397
runtime/cuda	DS4_CUDA_GREEDY_VEC4_TRACE	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy vec4 trace in CUDA greedy fast decode.	ds4.c:55727
runtime/cuda	DS4_CUDA_INDEXED_TWOPASS	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Force the two-pass indexed-attention path instead of the fused heads8 online kernel.	ds4_cuda.cu:23587
runtime/cuda	DS4_CUDA_IQ2_XXS_SSD_PREFILL_MMQ_STATS	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Print CUDA IQ2 XXS SSD prefill MMQ counters.	ds4_cuda.cu:4633
runtime/cuda	DS4_CUDA_KEEP_MODEL_PAGES	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Keep source model pages resident instead of advising the OS to discard copied pages.	ds4_cuda.cu:2840
runtime/cuda	DS4_CUDA_MIXED_PREFILL_DECODE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control native mixed prefill/decode scheduling.	ds4.c:70701
runtime/cuda	DS4_CUDA_MIXED_ROUTED_MAX_PREFILL	integer rows 0..UINT32_MAX; default/invalid 512	Set the maximum prefill rows admitted to the mixed routed-MoE path.	ds4.c:70190
runtime/cuda	DS4_CUDA_MIXED_ROUTED_SCATTER	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Use scattered row handling in mixed routed-MoE execution.	ds4.c:69651
runtime/cuda	DS4_CUDA_MMQ	boolean-ish, default on; any value beginning with 0 disables; quality mode and multi-GPU disable normal MMQ tier (MXFP4 path differs)	Control the vendored CUDA MMQ prefill tier.	ds4_cuda.cu:1722
runtime/cuda	DS4_CUDA_MMQ_Q81_PERSISTENT	strict boolean, default off; accepts 1/on/true/yes and 0/off/false/no in listed lower/upper-case forms; unknown values are off	Reuse a persistent Q8_1 MMQ scratch arena on supported GB10 devices.	cuda/mmq/ds4_mmq.cu:152
runtime/cuda	DS4_CUDA_MMQ_X_MAX	integer >=8; rounded down to multiple of 8 and only lowers the hardware base; invalid/unset = hardware base	Cap the MMQ X tile-width selector for architecture tuning.	cuda/mmq/mmq.cuh:127
runtime/cuda	DS4_CUDA_MODEL_COPY_CHUNK_MB	positive integer MiB; default 64; clamped 16..4096	Set the chunk size used for CUDA model copying.	ds4_cuda.cu:2827
runtime/cuda	DS4_CUDA_MODEL_COPY_VERBOSE	presence diagnostic flag; default off; any defined value including 0 enables	Print periodic progress while copying the model to device memory.	ds4_cuda.cu:6537
runtime/cuda	DS4_CUDA_MODEL_PREFETCH_SYNC	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize after each CUDA model prefetch range for diagnostics.	ds4_cuda.cu:2808
runtime/cuda	DS4_CUDA_MOE_ATOMIC_DOWN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the atomic down variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30086
runtime/cuda	DS4_CUDA_MOE_DECODE_GRAPH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the decode graph variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:391
runtime/cuda	DS4_CUDA_MOE_DIRECT_MIDQ	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the direct midq variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30140
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW1024	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row1024 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30109
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30128
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30110
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30127
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW512	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row512 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30108
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW64	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row64 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30129
runtime/cuda	DS4_CUDA_MOE_GATE_ROW1024	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row1024 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30120
runtime/cuda	DS4_CUDA_MOE_GATE_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30093
runtime/cuda	DS4_CUDA_MOE_GATE_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30091
runtime/cuda	DS4_CUDA_MOE_GATE_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30092
runtime/cuda	DS4_CUDA_MOE_MIDQ_SIDECAR	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the midq sidecar variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30169
runtime/cuda	DS4_CUDA_MOE_NO_ATOMIC_DOWN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the atomic down variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30087
runtime/cuda	DS4_CUDA_MOE_NO_DECODE_LUT_GATE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the decode lut gate variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30117
runtime/cuda	DS4_CUDA_MOE_NO_DIRECT_DOWN_SUM6	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the direct down sum6 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30137
runtime/cuda	DS4_CUDA_MOE_NO_DIRECT_MIDQ	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the direct midq variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30141
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30133
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30131
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30132
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW64	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row64 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30134
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_TILE16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down tile16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30102
runtime/cuda	DS4_CUDA_MOE_NO_EXPERT_TILES	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the expert tiles variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30062
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30097
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30095
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30096
runtime/cuda	DS4_CUDA_MOE_NO_IQ2_ALIGNED	value-aware kill switch, default off; nonempty value other than exact 0 disables aligned IQ2 path	Disable the IQ2 aligned variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:1011
runtime/cuda	DS4_CUDA_MOE_NO_MIDQ_SIDECAR	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the midq sidecar variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30170
runtime/cuda	DS4_CUDA_MOE_NO_OWNED_SPARSE_BUFFERS	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the owned sparse buffers variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30089
runtime/cuda	DS4_CUDA_MOE_NO_P2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the p2 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30084
runtime/cuda	DS4_CUDA_MOE_NO_Q2K_ALIGNED	value-aware kill switch, default off; nonempty value other than exact 0 disables aligned Q2_K path	Disable the q2k aligned variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:1016
runtime/cuda	DS4_CUDA_MOE_NO_Q4_DOWN_ROWSPAN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 down rowspan variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30114
runtime/cuda	DS4_CUDA_MOE_NO_Q4_DOWN_SLOT3	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 down slot3 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30164
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_H16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate H16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30149
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_H16R8	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate H16R8 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30145
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_W32	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate W32 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30157
